month,Cardekho,Cars24,CarWale,MFC,MTV,OLX,Spinny
2023-01,37.0,13.3,32.4,0.9,1.6,5.0,9.8
2023-02,36.4,13.9,31.7,0.8,1.5,5.4,10.3
2023-03,33.6,14.5,33.6,0.7,1.5,5.4,10.7
2023-04,31.2,15.5,32.9,0.8,1.6,5.4,12.6
2023-05,31.0,16.6,32.1,0.8,1.8,5.5,12.1
2023-06,30.1,18.4,32.1,0.8,1.8,5.3,11.5
2023-07,30.3,17.9,33.7,0.6,1.6,4.9,11.0
2023-08,29.9,18.4,32.9,0.7,1.5,4.7,11.9
2023-09,29.5,18.0,33.8,0.6,1.4,4.4,12.2
2023-10,27.9,20.1,32.4,0.6,1.6,4.2,13.2
2023-11,28.3,19.8,32.3,0.7,1.5,4.0,13.5
2023-12,29.4,19.4,32.9,0.6,1.5,3.7,12.6
2024-01,29.7,18.8,33.9,0.6,1.7,3.5,11.8
2024-02,31.4,18.5,32.9,0.6,1.6,3.2,11.8
2024-03,30.7,18.8,32.6,0.5,1.5,3.1,12.8
2024-04,29.0,18.7,34.5,0.5,1.4,3.1,12.8
2024-05,28.8,18.3,35.0,0.5,1.4,2.9,13.1
2024-06,28.3,18.3,34.2,0.4,1.5,2.8,14.4
2024-07,28.7,17.5,34.7,0.4,1.4,2.7,14.5
2024-08,28.9,16.6,37.1,0.3,1.2,2.4,13.4
2024-09,28.9,16.2,37.5,0.4,1.3,2.3,13.5
2024-10,28.2,15.6,35.8,0.4,1.4,2.3,16.4
2024-11,28.9,14.7,38.3,0.3,1.4,2.2,14.3
2024-12,28.2,15.9,36.7,0.3,1.4,2.3,15.2
2025-01,28.9,16.1,36.5,0.3,1.4,2.4,14.5
2025-02,28.8,16.3,36.5,0.3,1.3,2.3,14.6
2025-03,27.8,17.2,35.7,0.3,1.3,2.2,15.5
2025-04,27.1,17.2,35.3,0.3,1.3,2.2,16.6
2025-05,26.8,17.0,34.9,0.3,1.3,2.1,17.5
2025-06,27.0,17.0,34.9,0.3,1.3,2.1,17.3
2025-07,27.4,17.3,35.3,0.3,1.3,2.1,16.3
2025-08,28.3,16.7,36.4,0.3,1.2,2.0,15.2
2025-09,31.6,13.6,39.4,0.2,0.9,1.5,12.8
2025-10,31.4,14.5,39.0,0.2,1.1,1.5,12.4
2025-11,31.1,15.1,39.4,0.2,1.0,1.4,11.9
2025-12,30.4,16.8,37.1,0.2,1.1,1.5,12.9
2026-01,31.0,16.3,37.9,0.2,1.0,1.5,12.1
2026-02,29.9,17.3,36.6,0.2,1.0,1.5,13.5
2026-03,28.9,18.0,36.2,0.2,1.0,1.6,14.2
2026-04,28.1,19.0,35.4,0.2,1.0,1.7,14.6
2026-05,28.3,19.4,35.2,0.2,1.0,1.5,14.5
